"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.670976061E2,5.233416614E1,4.864208337E0,2.683389664E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.676366271E2,5.233451930E1,4.864149672E0,2.660781026E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.736628320E2,5.233418122E1,4.864205987E0,2.640587211E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.742048020E2,5.233451309E1,4.864153169E0,2.645630002E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.802559290E2,5.233417756E1,4.864207889E0,2.657130122E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.807982271E2,5.233450916E1,4.864153164E0,2.644161224E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.869001930E2,5.233417521E1,4.864208014E0,2.632705927E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.873619081E2,5.233451536E1,4.864146573E0,2.637764454E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.933837210E2,5.233417859E1,4.864205322E0,2.642919898E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.938928441E2,5.233450862E1,4.864150446E0,2.606066465E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.999989620E2,5.233416022E1,4.864210107E0,2.572399378E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.004085220E2,5.233448833E1,4.864154375E0,2.637542009E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.064806710E2,5.233413347E1,4.864214950E0,2.698777199E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.068811580E2,5.233448354E1,4.864157861E0,2.682322860E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.128938240E2,5.233413248E1,4.864215522E0,2.667431593E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.133058441E2,5.233447729E1,4.864163861E0,2.691635489E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.193794210E2,5.233413138E1,4.864216220E0,2.714806914E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.197915950E2,5.233448085E1,4.864151817E0,2.741108298E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.348228010E2,5.233466267E1,4.864118624E0,2.756655455E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.395085061E2,5.233430457E1,4.864183642E0,2.680224299E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.455479350E2,5.233409726E1,4.864221283E0,2.609584689E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.460727381E2,5.233434936E1,4.864174858E0,2.680108070E0,-1.000000000E0,-1.000000000E0,4.160746717E1,4.160746717E1
3.521163471E2,5.233413135E1,4.864214984E0,2.743456721E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.526297470E2,5.233438117E1,4.864168654E0,2.731683016E0,-1.000000000E0,-1.000000000E0,4.158537837E1,4.158537837E1
3.589435220E2,5.233413171E1,4.864214921E0,2.721173644E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.593578011E2,5.233452031E1,4.864150607E0,2.688073039E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.654396091E2,5.233415102E1,4.864212613E0,2.657997251E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.659705831E2,5.233448885E1,4.864150971E0,2.663780451E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.720386500E2,5.233413441E1,4.864214057E0,2.669557095E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
