"Time (s)","X (hPa)"
3.702469427E2,1.020007858E3
3.713153127E2,1.020009460E3
3.723836997E2,1.020011215E3
3.734520557E2,1.020014801E3
3.745204827E2,1.020019379E3
3.755888537E2,1.020022736E3
3.766571777E2,1.020025330E3
3.777254547E2,1.020031128E3
3.787937807E2,1.020033951E3
3.798621277E2,1.020035858E3
3.809304787E2,1.020036392E3
3.819988257E2,1.020036469E3
3.830671567E2,1.020036469E3
3.841355207E2,1.020035858E3
3.852039077E2,1.020035858E3
3.862723667E2,1.020036697E3
3.873407767E2,1.020039520E3
3.884091677E2,1.020041428E3
3.894775857E2,1.020044785E3
3.905460177E2,1.020045853E3
3.916144397E2,1.020049057E3
3.926828897E2,1.020049667E3
3.937512897E2,1.020049667E3
3.948196607E2,1.020049438E3
3.958880087E2,1.020049438E3
3.969563697E2,1.020048218E3
3.980247117E2,1.020048218E3
3.990930847E2,1.020051117E3
4.001614647E2,1.020055847E3
4.012298427E2,1.020058365E3
4.022982017E2,1.020061874E3
4.033665567E2,1.020066681E3
4.044349297E2,1.020069656E3
4.055033207E2,1.020073090E3
4.065717117E2,1.020077057E3
4.076400727E2,1.020078354E3
4.087084757E2,1.020078354E3
4.097768417E2,1.020077057E3
4.108452447E2,1.020072479E3
4.119136207E2,1.020067596E3
4.129819807E2,1.020064392E3
4.140503177E2,1.020063782E3
4.151186617E2,1.020061951E3
4.161870397E2,1.020061951E3
4.172554197E2,1.020062561E3
4.183238297E2,1.020063095E3
4.193922447E2,1.020063095E3
4.204606287E2,1.020059967E3
4.215289967E2,1.020056610E3
4.225973777E2,1.020055008E3
4.236657737E2,1.020055008E3
4.247342287E2,1.020055847E3
4.258026457E2,1.020059967E3
4.268711007E2,1.020064850E3
4.279394857E2,1.020068588E3
4.290079347E2,1.020071564E3
4.300763997E2,1.020071640E3
4.311447937E2,1.020071945E3
4.322132527E2,1.020074692E3
4.332816727E2,1.020077057E3
4.343500627E2,1.020078354E3
4.354184557E2,1.020083160E3
4.364868627E2,1.020087585E3
4.375553037E2,1.020089111E3
4.386237427E2,1.020089645E3
4.396921727E2,1.020092163E3
4.407605467E2,1.020092163E3
4.418289417E2,1.020090714E3
4.428973627E2,1.020090714E3
4.439657807E2,1.020092392E3
4.450341517E2,1.020092621E3
4.461025387E2,1.020094757E3
4.471709867E2,1.020099945E3
4.482394127E2,1.020105743E3
4.493078647E2,1.020109100E3
4.503762727E2,1.020109863E3
4.514446267E2,1.020109863E3
4.525130477E2,1.020106888E3
4.535814107E2,1.020105057E3
4.546497787E2,1.020099411E3
4.557181627E2,1.020099411E3
4.567865857E2,1.020101318E3
4.578550667E2,1.020102310E3
4.589235357E2,1.020103378E3
4.599919867E2,1.020105896E3
4.610604487E2,1.020105896E3
4.621288817E2,1.020105896E3
4.631973327E2,1.020104218E3
4.642657397E2,1.020100174E3
4.653341557E2,1.020093842E3
4.664025937E2,1.020089417E3
4.674709987E2,1.020083160E3
4.685394797E2,1.020077515E3
4.696079877E2,1.020071106E3
4.706764617E2,1.020068207E3
4.717448997E2,1.020064011E3
4.728133747E2,1.020062332E3
4.738818387E2,1.020060806E3
4.749502787E2,1.020060806E3
4.760186657E2,1.020062561E3
4.770870487E2,1.020064011E3
4.781554177E2,1.020065079E3
4.792237947E2,1.020066071E3
4.802922027E2,1.020067978E3
4.813605807E2,1.020067978E3
4.824289557E2,1.020069275E3
4.834973417E2,1.020068054E3
4.845657397E2,1.020068054E3
4.856341427E2,1.020060806E3
4.867025247E2,1.020033417E3
4.877709387E2,1.019973068E3
4.888393217E2,1.019873657E3
4.899076907E2,1.019736862E3
4.909760807E2,1.019564056E3
4.920444347E2,1.019371414E3
4.931127567E2,1.019175568E3
4.941810867E2,1.018980942E3
4.952494237E2,1.018787155E3
4.963178077E2,1.018595200E3
4.973861717E2,1.018402786E3
4.984545527E2,1.018208466E3
4.995229077E2,1.018010406E3
5.005912807E2,1.017811737E3
5.016596307E2,1.017621994E3
5.027279837E2,1.017459106E3
5.037963337E2,1.017335892E3
5.048647067E2,1.017255249E3
5.059330927E2,1.017215347E3
5.070014857E2,1.017208786E3
5.080698767E2,1.017208786E3
5.091382417E2,1.017210922E3
5.102065177E2,1.017210922E3
5.112748497E2,1.017211304E3
5.123432067E2,1.017210693E3
5.134115527E2,1.017211304E3
5.144798827E2,1.017215042E3
5.155482127E2,1.017216339E3
5.166165627E2,1.017220612E3
5.176849107E2,1.017220612E3
5.187532727E2,1.017218704E3
5.198216127E2,1.017212524E3
5.208899507E2,1.017211838E3
5.219582477E2,1.017212524E3
5.230265867E2,1.017213669E3
5.240949757E2,1.017218475E3
5.251633647E2,1.017224731E3
5.262317187E2,1.017227249E3
5.273000757E2,1.017228928E3
5.283684037E2,1.017228928E3
5.294367487E2,1.017228928E3
5.305050187E2,1.017229004E3
5.315732837E2,1.017233963E3
5.326415397E2,1.017240295E3
5.337098217E2,1.017248764E3
5.347780867E2,1.017258606E3
5.358463917E2,1.017265244E3
5.369147267E2,1.017268906E3
5.379830037E2,1.017269363E3
5.390513127E2,1.017271042E3
5.401196097E2,1.017273865E3
5.411879277E2,1.017273865E3
5.422562167E2,1.017272491E3
5.433245397E2,1.017272491E3
